date,hour,massif,region,massif_unique,altitude,inclination,orientation,size_of_group,transported,with head buried in snow,dead,injured,unharmed,activite_regrouped,only_hour,year,month
2020-01-28,,haute bigorre,pyrenees,hte-bigo,0,,,1,1,0,0,0,1,"cross-country (ski, snowboard etc.)",0,2020,1
2019-01-30,,vanoise,alps,Vanoise,0,,,1,1,1,1,0,0,other,0,2019,1
2019-02-04,,vanoise,alps,Vanoise,0,,,1,1,0,0,1,0,"off-piste (ski, snowboard)",0,2019,2
2019-02-06,,vanoise,alps,Vanoise,0,,,2,2,0,0,0,2,"off-piste (ski, snowboard)",0,2019,2
2019-03-07,,vanoise,alps,Vanoise,0,,,1,1,1,1,0,0,"off-piste (ski, snowboard)",0,2019,3
2019-03-12,,vanoise,alps,Vanoise,0,,,1,1,1,0,1,0,"cross-country (ski, snowboard etc.)",0,2019,3
2019-04-29,,vanoise,alps,Vanoise,0,,,1,1,0,0,1,0,"off-piste (ski, snowboard)",0,2019,4
2019-12-10,,vanoise,alps,Vanoise,0,,,1,1,1,0,0,1,"piste (ski, snowboard)",0,2019,12
2019-12-25,,vanoise,alps,Vanoise,0,,,1,1,0,0,1,0,other,0,2019,12
2020-01-30,,vanoise,alps,Vanoise,0,,,1,1,1,0,1,0,"off-piste (ski, snowboard)",0,2020,1
2020-01-30,,vanoise,alps,Vanoise,0,,,1,1,0,0,1,0,"off-piste (ski, snowboard)",0,2020,1
2020-01-31,,vanoise,alps,Vanoise,0,,,2,2,0,0,0,2,"off-piste (ski, snowboard)",0,2020,1
2020-02-05,,vanoise,alps,Vanoise,0,,,1,1,0,0,1,0,"off-piste (ski, snowboard)",0,2020,2
2020-02-28,,vanoise,alps,Vanoise,0,,,1,1,0,0,1,0,"off-piste (ski, snowboard)",0,2020,2
2020-03-06,,vanoise,alps,Vanoise,0,,,3,3,1,1,0,2,"off-piste (ski, snowboard)",0,2020,3
2020-03-11,,vanoise,alps,Vanoise,0,,,5,5,3,0,0,5,"off-piste (ski, snowboard)",0,2020,3
2010-12-03,16:00,vercors,alps,Vercors,1000,30-34,O,1,1,0,0,1,0,hiking,16,2010,12
2011-02-28,,vercors,alps,Vercors,1850,30-34,N,4,3,3,1,2,0,"off-piste (ski, snowboard)",0,2011,2
2012-02-05,12:55,vercors,alps,Vercors,1680,30-34,S,3,2,1,1,0,1,hiking,12,2012,2
2012-12-09,,vercors diois,alps,Vercors,1270,40-44,S,1,1,0,0,0,0,hiking,0,2012,12
2015-01-23,12:30,vercors,alps,Vercors,0,35-39,NO,4,1,0,0,0,0,hiking,12,2015,1
2015-01-28,12:20,vercors,alps,Vercors,1870,35-39,SO,18,3,1,1,0,2,hiking,12,2015,1
2020-03-15,,haute bigorre,pyrenees,hte-bigo,0,,,4,4,2,2,0,2,"cross-country (ski, snowboard etc.)",0,2020,3
2015-02-08,11:30,vercors,alps,Vercors,1830,40-44,SO,3,1,0,0,0,0,hiking,11,2015,2
2018-12-18,,vercors,alps,Vercors,0,,,1,1,0,0,1,0,"cross-country (ski, snowboard etc.)",0,2018,12
